datetime,heat loss,m_HP,abs m_HP,COP
2019/3/28,-5505109813,-0.75853034,0.75853034,4.70347278
2019/3/29,-5384949880,-0.74197391,0.74197391,4.71402459
2019/3/30,-4702279398,-0.64791107,0.64791107,4.77513306
2019/3/31,-5990385120,-0.82539478,0.82539478,4.66146158
2019/4/1,-6227310431,-0.85803991,0.85803991,4.64129487
2019/4/2,-7052807711,-0.97178237,0.97178237,4.57273258
2019/4/3,-7649117805,-1.05394591,1.05394591,4.52479024
2019/4/4,-7212753285,-0.99382072,0.99382072,4.5597457
2019/4/5,-6097313590,-0.84012809,0.84012809,4.6523324
2019/4/6,-6021793875,-0.82972248,0.82972248,4.65877528
2019/4/7,-5306163362,-0.73111819,0.73111819,4.7209759
2019/4/8,-5049034976,-0.69568934,0.69568934,4.74384442
2019/4/9,-5610925015,-0.77311026,0.77311026,4.69423017
2019/4/10,-6586968967,-0.90759603,0.90759603,4.61110236
2019/4/11,-7314060664,-1.00777952,1.00777952,4.55156871
2019/4/12,-7095860154,-0.97771442,0.97771442,4.5692276
2019/4/13,-7452014634,-1.02678773,1.02678773,4.54049402
2019/4/14,-7670890405,-1.05694588,1.05694588,4.5230641
2019/4/15,-6032452047,-0.83119103,0.83119103,4.65786462
2019/4/16,-5218817457,-0.71908309,0.71908309,4.72871289
2019/4/17,-4757121530,-0.65546758,0.65546758,4.77014975
2019/4/18,-4124365600,-0.5682823,0.5682823,4.82845826
2019/4/19,-3741748195,-0.51556275,0.51556275,4.86459978
2019/4/20,-3625566826,-0.49955451,0.49955451,4.87570957
2019/4/21,-3500150808,-0.48227387,0.48227387,4.88777432
2019/4/22,-3426182368,-0.47208201,0.47208201,4.89492521
2019/4/23,-3321973192,-0.45772338,0.45772338,4.90504437
2019/4/24,-4560766621,-0.62841251,0.62841251,4.7880529
2019/4/25,-4851074041,-0.66841298,0.66841298,4.76164311
2019/4/26,-4868795076,-0.6708547,0.6708547,4.76004292
2019/4/27,-5744590166,-0.79152753,0.79152753,4.6826207
2019/4/28,-5063781213,-0.69772118,0.69772118,4.74252531
2019/4/29,-4784460470,-0.65923452,0.65923452,4.76767046
2019/4/30,-4408066414,-0.60737247,0.60737247,4.8020937
2019/5/1,-4316851447,-0.59480427,0.59480427,4.81053069
2019/5/2,-4861275955,-0.66981867,0.66981867,4.76072172
2019/5/3,-5399349362,-0.74395797,0.74395797,4.71275693
2019/5/4,-6490534416,-0.89430864,0.89430864,4.61914858
2019/5/5,-6057746953,-0.83467633,0.83467633,4.65570516
2019/5/6,-5878583821,-0.80999005,0.80999005,4.67105571
2019/5/7,-5060386659,-0.69725345,0.69725345,4.74282889
2019/5/8,-4871550871,-0.67123441,0.67123441,4.75979419
2019/5/9,-5404459444,-0.74466207,0.74466207,4.71230728
2019/5/10,-5099241534,-0.70260713,0.70260713,4.73935708
2019/5/11,-5113057006,-0.70451072,0.70451072,4.73812418
2019/5/12,-4869525088,-0.67095529,0.67095529,4.75997702
2019/5/13,-4744054320,-0.6536671,0.6536671,4.77133592
2019/5/14,-4423944170,-0.60956021,0.60956021,4.80062889
2019/5/15,-3972212903,-0.54731769,0.54731769,4.84274914
2019/5/16,-4472179696,-0.61620642,0.61620642,4.79618582
2019/5/17,-4519666960,-0.62274953,0.62274953,4.79182181
2019/5/18,-3770090901,-0.51946799,0.51946799,4.86189919
2019/5/19,-3508491193,-0.48342306,0.48342306,4.88696966
2019/5/20,-3328543298,-0.45862865,0.45862865,4.90440483
2019/5/21,-3639546551,-0.50148073,0.50148073,4.87436938
2019/5/22,-3412841404,-0.4702438,0.4702438,4.89621775
2019/5/23,-3028763975,-0.41732308,0.41732308,4.93380041
2019/5/24,-2906432257,-0.40046741,0.40046741,4.9459235
2019/5/25,-2503538775,-0.34495409,0.34495409,4.98638401
2019/5/26,-2931343908,-0.4038999,0.4038999,4.9434487
2019/5/27,-3686358554,-0.5079308,0.5079308,4.86988843
2019/5/28,-3953871358,-0.54479048,0.54479048,4.84447907
2019/5/29,-3992634981,-0.55013158,0.55013158,4.84082481
2019/5/30,-2229437616,-0.30718662,0.30718662,5.01438818
2019/5/31,-2295777433,-0.31632736,0.31632736,5.00757439
2019/6/1,-1919054873,-0.26442004,0.26442004,5.04657796
2019/6/2,-2157476708,-0.29727137,0.29727137,5.02180555
2019/6/3,-3311223769,-0.45624225,0.45624225,4.90609118
2019/6/4,-3158213307,-0.43515946,0.43515946,4.92105283
2019/6/5,-3442771885,-0.47436782,0.47436782,4.89331913
2019/6/6,-3779581054,-0.52077561,0.52077561,4.86099577
2019/6/7,-3810935058,-0.52509577,0.52509577,4.85801404
2019/6/8,-3923338616,-0.54058347,0.54058347,4.84736231
2019/6/9,-3776971262,-0.52041601,0.52041601,4.86124417
2019/6/10,-4771922518,-0.65750696,0.65750696,4.76880708
2019/6/11,-4575604110,-0.63045692,0.63045692,4.78669412
2019/6/12,-4293272068,-0.59155534,0.59155534,4.81271778
2019/6/13,-4076476830,-0.56168387,0.56168387,4.83294472
2019/6/14,-3415889203,-0.47066375,0.47066375,4.89592238
2019/6/15,-3597808129,-0.49572974,0.49572974,4.87837344
2019/6/16,-3143576572,-0.43314272,0.43314272,4.92249004
2019/6/17,-2634101376,-0.36294386,0.36294386,4.97318171
2019/6/18,-2901942685,-0.3998488,0.3998488,4.94636985
2019/6/19,-2731703946,-0.37639219,0.37639219,4.96336926
2019/6/20,-3274285175,-0.45115261,0.45115261,4.90969263
2019/6/21,-2949922707,-0.40645981,0.40645981,4.94160504
2019/6/22,-2272435308,-0.31311113,0.31311113,5.00996923
2019/6/23,-2076317653,-0.28608874,0.28608874,5.03020399
2019/6/24,-1293215804,-0.1781878,0.1781878,5.11307939
2019/6/25,-1329132382,-0.18313663,0.18313663,5.10920384
2019/6/26,-1798475183,-0.24780577,0.24780577,5.05922295
2019/6/27,-2207847519,-0.30421179,0.30421179,5.01661071
2019/6/28,-1812217654,-0.2496993,0.2496993,5.05777781
2019/6/29,-119429921.3,-0.01645584,0.01645584,5.24388701
2019/6/30,-1675960962,-0.23092496,0.23092496,5.072152
2019/7/1,-2112653987,-0.2910954,0.2910954,5.02643953
2019/7/2,-2467603947,-0.34000275,0.34000275,4.9900331
2019/7/3,-2014357906,-0.27755152,0.27755152,5.0366393
2019/7/4,-1381255221,-0.19031846,0.19031846,5.10359254
2019/7/5,-976664462,-0.13457127,0.13457127,5.14755538
2019/7/6,-1462761032,-0.20154886,0.20154886,5.09484867
2019/7/7,-1845250685,-0.25425081,0.25425081,5.05430831
2019/7/8,-1456172676,-0.20064108,0.20064108,5.09555408
2019/7/9,-920252804.5,-0.1267985,0.1267985,5.15376
2019/7/10,-692963648,-0.0954811,0.0954811,5.17894839
2019/7/11,-788102428.5,-0.10858995,0.10858995,5.16836795
2019/7/12,-1081475898,-0.14901288,0.14901288,5.13607641
2019/7/13,-1321065753,-0.18202515,0.18202515,5.11007363
2019/7/14,-1704486171,-0.23485535,0.23485535,5.06913435
2019/7/15,-1942999258,-0.26771925,0.26771925,5.04407633
2019/7/16,-799855617.6,-0.11020938,0.11020938,5.16706459
2019/7/17,-995973272.6,-0.13723177,0.13723177,5.14543588
2019/7/18,-1362366167,-0.1877158,0.1877158,5.10562428
2019/7/19,-1750513411,-0.24119728,0.24119728,5.06427461
2019/7/20,-1140406096,-0.15713267,0.15713267,5.12965023
2019/7/21,-1386420054,-0.1910301,0.1910301,5.10303736
2019/7/22,108297242.2,0.01492191,0.01492191,5.24516749
2019/7/23,1115092939,0.15364486,0.15364486,5.13240811
