daytime,outlet temperature
350,2.98601427
351,2.84328506
352,2.71828518
353,2.62827614
354,2.50344847
355,2.38725345
356,2.26463517
357,2.14372844
358,2.0346434
359,1.88494058
360,1.76071001
361,1.62919847
362,1.51600698
363,1.3833174
364,1.24778291
365,1.12888196
