,T_BTES_final6
371,30
372,30
373,30
374,30
375,30
376,30
377,30
378,30
379,30
380,30
381,30
382,30
383,30
384,30
385,30
386,30
387,30
388,30
389,30
390,30
391,30
392,30
393,30
394,30
395,30
396,30
397,30
398,30
399,30
400,30
401,30
402,30
403,30
404,30
405,30
406,30
407,30
408,30
409,30
410,30
411,30
412,30
413,30
414,30
415,30
416,30
417,30
418,30
419,30
420,30
421,30
422,30
423,30
424,30
425,30
426,30
427,30
428,30
429,30
430,30
431,30
432,30
433,30
434,30
435,30
436,30
437,30
438,30
439,30
440,30
441,30
442,30
443,30
444,30
445,30
446,30
447,30
448,30
449,30
450,30
451,30
452,30
453,30
454,30
455,30
456,30
457,30
458,30
459,30
460,30
461,30
462,30
463,30
464,30
465,30
466,30
467,30
468,30
469,30
470,30
471,30
472,30
473,30
474,30
475,30
476,30
477,30
478,30
479,30
480,30
481,30
482,30
483,30
484,30
485,30
486,30
487,30
488,30
489,30
490,30
491,30
492,30
493,30
494,30
495,30
496,30
497,30
498,30
499,30
500,30
501,30
502,30
503,30
504,30
505,30
506,30
507,30
508,30
509,30
510,30
511,30
512,30
513,30
514,30
515,30
516,30
517,30
518,30
519,30
520,30
521,30
522,30
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,30
531,30
532,30
533,30
534,30
535,30
536,30
537,30
538,30
539,30
540,30
541,30
542,30
543,30
544,30
545,30
546,30
547,30
548,30
549,30
550,30
551,30
552,30
553,30
554,30
555,30
556,30
557,30
558,30
559,30
560,30
561,30
562,30
563,30
564,30
565,30
566,30
567,30
568,30
569,30
570,30
571,30
572,30
573,30
574,30
575,30
576,30
577,30
578,30
579,30
580,30
581,30
582,30
583,30
584,30
585,30
586,30
587,30
588,30
589,30
590,30
591,30
592,30
593,30
594,30
595,30
596,30
597,30
598,30
599,30
600,30
601,30
602,30
603,30
604,30
605,30
606,30
607,30
608,30
609,30
610,30
611,30
612,30
613,30
614,30
615,30
616,30
617,30
618,30
619,30
620,30
621,30
622,30
623,30
624,30
625,30
626,30
627,30
628,30
629,30
630,30
631,30
632,30
633,30
634,30
635,30
636,30
637,30
638,30
639,30
640,30
641,30
642,30
643,30
644,30
645,30
646,30
647,30
648,30
649,30
650,30
651,30
652,30
653,30
654,30
655,30
656,30
657,30
658,30
659,30
660,30
661,30
662,30
663,30
664,30
665,30
666,30
667,30
668,30
669,30
670,30
671,30
672,30
673,30
674,30
675,30
676,30
677,30
678,30
679,30
680,30
681,30
682,30
683,30
684,30
685,30
686,30
687,30
688,30
689,30
690,30
691,30
692,30
693,30
694,30
695,30
696,30
697,30
698,30
699,30
700,30
701,30
702,30
703,30
704,30
705,30
706,30
707,30
708,30
709,30
710,30
711,30
712,30
713,30
714,30
715,30
716,30
717,30
718,30
719,30
720,30
721,30
722,30
723,30
724,30
725,30
726,30
727,30
728,30
729,30
730,29.93162638
731,29.85281459
732,29.77344405
733,29.6906184
734,29.61177129
735,29.53907491
736,29.47305094
737,29.40233602
738,29.32585365
739,29.25047828
740,29.18100823
741,29.1161128
742,29.05471876
743,28.98631372
744,28.92028455
745,28.85492378
746,28.77954556
747,28.70356257
748,28.6308623
749,28.55262988
750,28.47870193
751,28.40483222
752,28.32590883
753,28.25007035
754,28.18597819
755,28.1240066
756,28.05512341
757,27.97828983
758,27.90401383
759,27.82651135
760,27.74891071
761,27.67331613
762,27.59628411
763,27.52009893
764,27.4549678
765,27.39015486
766,27.32957493
767,27.26711407
768,27.20901345
769,27.14760735
770,27.08265176
771,27.01729263
772,26.95258208
773,26.89246313
774,26.82906217
775,26.76783579
776,26.71222156
777,26.65583107
778,26.59608652
779,26.53449775
780,26.47674795
781,26.4216923
782,26.36331707
783,26.30729226
784,26.24879636
785,26.18908042
786,26.13223324
787,26.0744217
788,26.01795569
789,25.96137796
790,25.90831818
791,25.854778
792,25.79317716
793,25.73460457
794,25.68244939
795,25.62330373
796,25.56485514
797,25.50815309
798,25.44820763
799,25.38819606
800,25.3299904
801,25.27308546
802,25.22005432
803,25.17083331
804,25.11997222
805,25.05977628
806,25.00089905
807,24.94693959
808,24.89682434
809,24.84953534
810,24.79999905
811,24.74652958
812,24.69097396
813,24.6349983
814,24.57812624
815,24.52400758
816,24.47240672
817,24.42148863
818,24.3739651
819,24.32032369
820,24.2656468
821,24.20709764
822,24.14578938
823,24.08670847
824,24.03312582
825,23.9800146
826,23.9304613
827,23.88224732
828,23.8314196
829,23.77598578
830,23.71715583
831,23.65949599
832,23.60023363
833,23.54003409
834,23.48785764
835,23.43970995
836,23.39388546
837,23.3512046
838,23.31045459
839,23.27034645
840,23.23092345
841,23.19193606
842,23.15352929
843,23.10922424
844,23.06360756
845,23.01799664
846,22.96825272
847,22.92189203
848,22.87697131
849,22.8339559
850,22.79146648
851,22.74643611
852,22.69890051
853,22.64619686
854,22.59568608
855,22.54614048
856,22.50064039
857,22.45614211
858,22.40916245
859,22.36374891
860,22.31835955
861,22.27423561
862,22.2308051
863,22.18900544
864,22.14946822
865,22.10759857
866,22.06558363
867,22.02726815
868,21.99029107
869,21.9542559
870,21.91679273
871,21.88049795
872,21.84612829
873,21.81241741
874,21.78071724
875,21.74701703
876,21.70974254
877,21.67125232
878,21.6326521
879,21.60263353
880,21.57235502
881,21.54395411
882,21.51446003
883,21.47946005
884,21.44526809
885,21.409772
886,21.37272237
887,21.33559561
888,21.29800094
889,21.26118744
890,21.21964861
891,21.17913976
892,21.1400737
893,21.10213145
894,21.06745129
895,21.03196305
896,20.99873668
897,20.96803412
898,20.93610109
899,20.90505303
900,20.87145004
901,20.83947875
902,20.81083913
903,20.78320273
904,20.75939875
905,20.73546914
906,20.7093236
907,20.68125582
908,20.65515242
909,20.63726607
910,20.61190786
911,20.58449406
912,20.55542305
913,20.52859634
914,20.50487692
915,20.48315641
916,20.45913475
917,20.43331627
918,20.40942607
919,20.38816855
920,20.36804984
921,20.34751247
922,20.32560116
923,20.30257805
924,20.27775163
925,20.25182444
926,20.23146284
927,20.21019602
928,20.18720452
929,20.16238684
930,20.14056154
931,20.11759328
932,20.10188045
933,20.09105512
934,20.07881213
935,20.07182584
936,20.05421628
937,20.02992804
938,20.00501137
939,19.98358197
940,19.96025612
941,19.93708299
942,19.91560346
943,19.89579951
944,19.87415466
945,19.85302668
946,19.83198928
947,19.80891336
948,19.7851431
949,19.76379483
950,19.74472222
951,19.72203861
952,19.69806535
953,19.66909918
954,19.64103917
955,19.61446141
956,19.59050084
957,19.56402503
958,19.54061472
959,19.51379485
960,19.48592459
961,19.45765523
962,19.43176254
963,19.40868708
964,19.38912005
965,19.37107821
966,19.35851357
967,19.34615443
968,19.3333915
969,19.31236627
970,19.28664409
971,19.26415886
972,19.23791198
973,19.20874351
974,19.18073565
975,19.1570201
976,19.13106892
977,19.10009559
978,19.06835685
979,19.03644814
980,19.00281234
981,18.96991538
982,18.94015783
983,18.91643181
984,18.89486711
985,18.86732301
986,18.83904237
987,18.81567685
988,18.7905337
989,18.75908874
990,18.72714497
991,18.69947197
992,18.67116753
993,18.64790563
994,18.62429933
995,18.59777796
996,18.57423019
997,18.55005928
998,18.52614788
999,18.49774662
1000,18.47053233
1001,18.44582331
1002,18.4171592
1003,18.3891458
1004,18.34937233
1005,18.3124428
1006,18.28063212
1007,18.24824801
1008,18.2179951
1009,18.18676794
1010,18.15499206
1011,18.12034378
1012,18.08865691
1013,18.06148124
1014,18.02738344
1015,17.99520407
1016,17.96062898
1017,17.9257785
1018,17.89180114
1019,17.85500912
1020,17.82119355
1021,17.78434204
1022,17.74553998
1023,17.70964443
1024,17.67080277
1025,17.63496189
1026,17.60049497
1027,17.57086073
1028,17.53978472
1029,17.49645679
1030,17.45176783
1031,17.4103778
1032,17.36948198
1033,17.32969716
1034,17.30143883
1035,17.26689011
1036,17.22798335
1037,17.18975924
1038,17.15271499
1039,17.10927011
1040,17.06651616
1041,17.02161166
1042,16.97478027
1043,16.9324247
1044,16.88979662
1045,16.84585744
1046,16.8025107
1047,16.75758941
1048,16.71528944
1049,16.67085245
1050,16.62744313
1051,16.58188362
1052,16.53523786
1053,16.49131334
1054,16.44661912
1055,16.40819131
1056,16.37096022
1057,16.33396064
1058,16.30087611
1059,16.26864682
1060,16.23298679
1061,16.19485613
1062,16.14637849
1063,16.09629254
1064,16.04752972
1065,15.99722043
1066,15.95062773
1067,15.90393403
1068,15.86311294
1069,15.83138339
1070,15.79544069
1071,15.75944752
