,Temp_out_BTES
03/08/2019,31.89896596
04/08/2019,31.88657412
05/08/2019,31.8742936
06/08/2019,31.8572205
07/08/2019,31.83844173
08/08/2019,31.82513237
09/08/2019,31.81696658
10/08/2019,31.80039512
11/08/2019,31.78074851
12/08/2019,31.9411132
13/08/2019,31.91180905
14/08/2019,31.88578991
15/08/2019,31.86567695
16/08/2019,32.02983721
17/08/2019,32.01075936
18/08/2019,31.9837199
19/08/2019,32.1427902
20/08/2019,32.11215996
21/08/2019,32.27344306
22/08/2019,32.25452722
23/08/2019,32.42984219
24/08/2019,32.42232464
25/08/2019,32.42734047
26/08/2019,32.43277176
27/08/2019,32.43721598
28/08/2019,32.42256959
29/08/2019,32.39700708
30/08/2019,32.56119336
31/08/2019,32.53420013
01/09/2019,32.50035625
02/09/2019,32.46905141
03/09/2019,32.44750468
04/09/2019,32.60264319
05/09/2019,32.56414968
06/09/2019,32.70422214
07/09/2019,32.6632851
08/09/2019,32.61822279
09/09/2019,32.75437889
10/09/2019,32.71794346
11/09/2019,32.69526428
12/09/2019,32.85608633
13/09/2019,33.00039545
14/09/2019,32.96688938
15/09/2019,32.94457478
16/09/2019,32.91805785
17/09/2019,32.87690912
18/09/2019,32.83446655
19/09/2019,32.80171436
20/09/2019,32.94406856
21/09/2019,32.92121926
22/09/2019,32.89746948
23/09/2019,33.04214585
24/09/2019,33.01829996
25/09/2019,32.9929102
26/09/2019,32.96800689
27/09/2019,32.93265119
28/09/2019,32.8998988
29/09/2019,32.87279182
30/09/2019,33.01229386
01/10/2019,32.9773295
02/10/2019,32.91514725
03/10/2019,32.85933266
04/10/2019,32.815139
05/10/2019,32.76947792
06/10/2019,32.72857677
07/10/2019,32.68529211
08/10/2019,32.64059964
09/10/2019,32.58914432
10/10/2019,32.54435088
11/10/2019,32.6906004
12/10/2019,32.6399823
13/10/2019,32.59362614
14/10/2019,32.72196483
15/10/2019,32.66914834
16/10/2019,32.79748639
17/10/2019,32.73988057
18/10/2019,32.68896136
19/10/2019,32.63089323
20/10/2019,32.5681623
21/10/2019,32.69287132
22/10/2019,32.62970505
23/10/2019,32.57327202
24/10/2019,32.51983872
25/10/2019,32.65858946
26/10/2019,32.61267168
27/10/2019,32.53838896
28/10/2019,32.64253182
29/10/2019,32.57230747
30/10/2019,32.50303084
31/10/2019,32.43612495
01/11/2019,32.57810769
02/11/2019,32.52294945
03/11/2019,32.45759351
04/11/2019,32.57625957
05/11/2019,32.5148385
06/11/2019,32.43850318
07/11/2019,32.54686272
08/11/2019,32.46676812
09/11/2019,32.38202815
10/11/2019,32.30738227
11/11/2019,32.4171191
12/11/2019,32.33843393
13/11/2019,32.26091101
14/11/2019,32.17956149
15/11/2019,32.29113914
16/11/2019,32.21050336
17/11/2019,32.13203007
18/11/2019,32.0484039
19/11/2019,31.96206573
20/11/2019,31.88178093
21/11/2019,31.99090242
22/11/2019,31.92287077
23/11/2019,31.85741872
24/11/2019,31.7923284
25/11/2019,31.73608577
26/11/2019,31.68166074
27/11/2019,31.81320022
28/11/2019,31.74486889
29/11/2019,31.84641038
30/11/2019,31.75014154
01/12/2019,31.65668973
02/12/2019,31.55945106
03/12/2019,31.47054161
04/12/2019,31.38118486
05/12/2019,31.30514031
06/12/2019,31.24984967
07/12/2019,31.18470805
08/12/2019,31.11928458
09/12/2019,31.04070302
10/12/2019,30.96958933
11/12/2019,30.88534735
12/12/2019,30.80744628
13/12/2019,30.72837382
14/12/2019,30.64813546
15/12/2019,30.57162495
16/12/2019,30.49469796
17/12/2019,30.41415829
18/12/2019,30.34235803
19/12/2019,30.28796301
20/12/2019,30.21603359
21/12/2019,30.14830407
22/12/2019,30.07724006
23/12/2019,30.00691067
24/12/2019,29.94238282
25/12/2019,29.85739608
26/12/2019,29.78502098
27/12/2019,29.70887363
28/12/2019,29.64177288
29/12/2019,29.56479013
30/12/2019,29.48624912
31/12/2019,29.41590574
