"datetime,BTES"	outlet	"temp,,BTES"	inlet	"temp,,Q"	in	ground				
"2019/3/1,-4.24E+02,,-4.29E+02,,-3.21E+11"									[-5.11487205e+10]	
"2019/3/2,-4.38E+02,,-4.43E+02,,-3.27E+11"									[-5.79606106e+10]	
"2019/3/3,-4.52E+02,,-4.57E+02,,-3.33E+11"									[-6.39599017e+10]	
"2019/3/4,-4.66E+02,,-4.71E+02,,-3.41E+11"									[-7.00991743e+10]	
"2019/3/5,-4.80E+02,,-4.85E+02,,-3.48E+11"									[-7.81877896e+10]	
"2019/3/6,-4.95E+02,,-5.00E+02,,-3.54E+11"									[-8.55830727e+10]	
"2019/3/7,-5.09E+02,,-5.14E+02,,-3.62E+11"									[-9.14747148e+10]	
"2019/3/8,-5.24E+02,,-5.29E+02,,-3.69E+11"									[-9.90596233e+10]	
"2019/3/9,-5.39E+02,,-5.44E+02,,-3.76E+11"									[-1.06506399e+11]	
"2019/3/10,-5.54E+02,,-5.59E+02,,-3.84E+11"									[-1.13564239e+11]	
"2019/3/11,-5.70E+02,,-5.75E+02,,-3.92E+11"									[-1.21423228e+11]	
"2019/3/12,-5.85E+02,,-5.90E+02,,-3.99E+11"									[-1.29326609e+11]	
"2019/3/13,-6.01E+02,,-6.06E+02,,-4.07E+11"									[-1.36827629e+11]	
"2019/3/14,-6.17E+02,,-6.22E+02,,-4.13E+11"									[-1.44045997e+11]	
"2019/3/15,-6.33E+02,,-6.38E+02,,-4.18E+11"									[-1.50366996e+11]	
"2019/3/16,-6.50E+02,,-6.55E+02,,-4.24E+11"									[-1.55803966e+11]	
"2019/3/17,-6.66E+02,,-6.71E+02,,-4.32E+11"									[-1.61655859e+11]	
"2019/3/18,-6.83E+02,,-6.88E+02,,-4.40E+11"									[-1.69759916e+11]	
"2019/3/19,-7.00E+02,,-7.05E+02,,-4.47E+11"									[-1.77577980e+11]	
"2019/3/20,-7.17E+02,,-7.22E+02,,-4.53E+11"									[-1.84250456e+11]	
"2019/3/21,-7.34E+02,,-7.39E+02,,-4.58E+11"									[-1.90031213e+11]	
"2019/3/22,-7.52E+02,,-7.57E+02,,-4.63E+11"									[-1.95161371e+11]	
"2019/3/23,-7.69E+02,,-7.74E+02,,-4.70E+11"									[-2.00850446e+11]	
"2019/3/24,-7.87E+02,,-7.92E+02,,-4.77E+11"									[-2.07501871e+11]	
"2019/3/25,-8.05E+02,,-8.10E+02,,-4.85E+11"									[-2.14676709e+11]	
"2019/3/26,-8.23E+02,,-8.28E+02,,-4.92E+11"									[-2.21978314e+11]	
"2019/3/27,-8.41E+02,,-8.46E+02,,-4.99E+11"									[-2.29520575e+11]	
"2019/3/28,-8.60E+02,,-8.65E+02,,-5.05E+11"									[-2.36432845e+11]	
"2019/3/29,-8.78E+02,,-8.83E+02,,-5.12E+11"									[-2.42770041e+11]	
"2019/3/30,-8.97E+02,,-9.02E+02,,-5.17E+11"									[-2.48968916e+11]	
"2019/3/31,-9.16E+02,,-9.21E+02,,-5.24E+11"									[-2.54381936e+11]	
"2019/4/1,-9.35E+02,,-9.40E+02,,-5.31E+11"									[-2.61277756e+11]	
"2019/4/2,-9.55E+02,,-9.60E+02,,-5.39E+11"									[-2.68446312e+11]	
"2019/4/3,-9.74E+02,,-9.79E+02,,-5.48E+11"									[-2.76565138e+11]	
"2019/4/4,-9.94E+02,,-9.99E+02,,-5.56E+11"									[-2.85370405e+11]	
"2019/4/5,-1.01E+03,,-1.02E+03,,-5.63E+11"									[-2.93673352e+11]	
"2019/4/6,-1.03E+03,,-1.04E+03,,-5.70E+11"									[-3.00692263e+11]	
"2019/4/7,-1.05E+03,,-1.06E+03,,-5.76E+11"									[-3.07624239e+11]	
"2019/4/8,-1.08E+03,,-1.08E+03,,-5.82E+11"									[-3.13732419e+11]	
"2019/4/9,-1.10E+03,,-1.10E+03,,-5.89E+11"									[-3.19544605e+11]	
"2019/4/10,-1.12E+03,,-1.12E+03,,-5.96E+11"									[-3.26003611e+11]	
"2019/4/11,-1.14E+03,,-1.14E+03,,-6.05E+11"									[-3.33586187e+11]	
"2019/4/12,-1.16E+03,,-1.16E+03,,-6.13E+11"									[-3.42005754e+11]	
"2019/4/13,-1.18E+03,,-1.19E+03,,-6.21E+11"									[-3.50174140e+11]	
"2019/4/14,-1.20E+03,,-1.21E+03,,-6.30E+11"									[-3.58752512e+11]	
"2019/4/15,-1.22E+03,,-1.23E+03,,-6.37E+11"									[-3.67582842e+11]	
"2019/4/16,-1.25E+03,,-1.25E+03,,-6.43E+11"									[-3.74527088e+11]	
"2019/4/17,-1.27E+03,,-1.27E+03,,-6.49E+11"									[-3.80534719e+11]	
"2019/4/18,-1.29E+03,,-1.30E+03,,-6.53E+11"									[-3.86010871e+11]	
"2019/4/19,-1.31E+03,,-1.32E+03,,-6.58E+11"									[-3.90758626e+11]	
"2019/4/20,-1.34E+03,,-1.34E+03,,-6.62E+11"									[-3.95065932e+11]	
"2019/4/21,-1.36E+03,,-1.36E+03,,-6.66E+11"									[-3.99239496e+11]	
"2019/4/22,-1.38E+03,,-1.39E+03,,-6.70E+11"									[-4.03268688e+11]	
"2019/4/23,-1.41E+03,,-1.41E+03,,-6.74E+11"									[-4.07212731e+11]	
"2019/4/24,-1.43E+03,,-1.43E+03,,-6.79E+11"									[-4.11036814e+11]	
"2019/4/25,-1.45E+03,,-1.46E+03,,-6.84E+11"									[-4.16286932e+11]	
"2019/4/26,-1.47E+03,,-1.48E+03,,-6.90E+11"									[-4.21871236e+11]	
"2019/4/27,-1.50E+03,,-1.50E+03,,-6.97E+11"									[-4.27475940e+11]	
"2019/4/28,-1.52E+03,,-1.53E+03,,-7.03E+11"									[-4.34088814e+11]	
"2019/4/29,-1.55E+03,,-1.55E+03,,-7.08E+11"									[-4.39917976e+11]	
"2019/4/30,-1.57E+03,,-1.57E+03,,-7.13E+11"									[-4.45425599e+11]	
"2019/5/1,-1.59E+03,,-1.60E+03,,-7.18E+11"									[-4.50499936e+11]	
"2019/5/2,-1.62E+03,,-1.62E+03,,-7.24E+11"									[-4.55469271e+11]	
"2019/5/3,-1.64E+03,,-1.65E+03,,-7.30E+11"									[-4.61065319e+11]	
"2019/5/4,-1.67E+03,,-1.67E+03,,-7.37E+11"									[-4.67280770e+11]	
"2019/5/5,-1.69E+03,,-1.70E+03,,-7.44E+11"									[-4.74752336e+11]	
"2019/5/6,-1.72E+03,,-1.72E+03,,-7.51E+11"									[-4.81725699e+11]	
"2019/5/7,-1.74E+03,,-1.75E+03,,-7.57E+11"									[-4.88492820e+11]	
"2019/5/8,-1.77E+03,,-1.77E+03,,-7.63E+11"									[-4.94318074e+11]	
"2019/5/9,-1.79E+03,,-1.80E+03,,-7.69E+11"									[-4.99925950e+11]	
"2019/5/10,-1.82E+03,,-1.82E+03,,-7.75E+11"									[-5.06147283e+11]	
"2019/5/11,-1.84E+03,,-1.85E+03,,-7.81E+11"									[-5.12017265e+11]	
"2019/5/12,-1.87E+03,,-1.88E+03,,-7.86E+11"									[-5.17903151e+11]	
"2019/5/13,-1.90E+03,,-1.90E+03,,-7.92E+11"									[-5.23508695e+11]	
"2019/5/14,-1.92E+03,,-1.93E+03,,-7.97E+11"									[-5.28969804e+11]	
"2019/5/15,-1.95E+03,,-1.95E+03,,-8.01E+11"									[-5.34062419e+11]	
"2019/5/16,-1.98E+03,,-1.98E+03,,-8.06E+11"									[-5.38635024e+11]	
"2019/5/17,-2.00E+03,,-2.01E+03,,-8.12E+11"									[-5.43783165e+11]	
"2019/5/18,-2.03E+03,,-2.03E+03,,-8.16E+11"									[-5.48985971e+11]	
"2019/5/19,-2.06E+03,,-2.06E+03,,-8.20E+11"									[-5.53325904e+11]	
"2019/5/20,-2.08E+03,,-2.09E+03,,-8.24E+11"									[-5.57364696e+11]	
"2019/5/21,-2.11E+03,,-2.12E+03,,-8.28E+11"									[-5.61196343e+11]	
"2019/5/22,-2.14E+03,,-2.14E+03,,-8.32E+11"									[-5.65385999e+11]	
"2019/5/23,-2.16E+03,,-2.17E+03,,-8.35E+11"									[-5.69314685e+11]	
"2019/5/24,-2.19E+03,,-2.20E+03,,-8.39E+11"									[-5.72801241e+11]	
"2019/5/25,-2.22E+03,,-2.22E+03,,-8.42E+11"									[-5.76146975e+11]	
"2019/5/26,-2.25E+03,,-2.25E+03,,-8.45E+11"									[-5.79028919e+11]	
"2019/5/27,-2.27E+03,,-2.28E+03,,-8.49E+11"									[-5.82403329e+11]	
"2019/5/28,-2.30E+03,,-2.31E+03,,-8.54E+11"									[-5.86646874e+11]	
"2019/5/29,-2.33E+03,,-2.34E+03,,-8.58E+11"									[-5.91198365e+11]	
"2019/5/30,-2.36E+03,,-2.36E+03,,-8.61E+11"									[-5.95794479e+11]	
"2019/5/31,-2.39E+03,,-2.39E+03,,-8.64E+11"									[-5.98360892e+11]	
"2019/6/1,-2.41E+03,,-2.42E+03,,-8.66E+11"									[-6.01003672e+11]	
"2019/6/2,-2.44E+03,,-2.45E+03,,-8.68E+11"									[-6.03212788e+11]	
"2019/6/3,-2.47E+03,,-2.48E+03,,-8.72E+11"									[-6.05696363e+11]	
"2019/6/4,-2.50E+03,,-2.50E+03,,-8.76E+11"									[-6.09508072e+11]	
"2019/6/5,-2.53E+03,,-2.53E+03,,-8.80E+11"									[-6.13143643e+11]	
"2019/6/6,-2.56E+03,,-2.56E+03,,-8.84E+11"									[-6.17106783e+11]	
"2019/6/7,-2.58E+03,,-2.59E+03,,-8.88E+11"									[-6.21457641e+11]	
"2019/6/8,-2.61E+03,,-2.62E+03,,-8.93E+11"									[-6.25844591e+11]	
"2019/6/9,-2.64E+03,,-2.65E+03,,-8.97E+11"									[-6.30360935e+11]	
