,Temp_out_BTES,Temp_into_BTES,,,,,
60,30.98395817,20.98395817, [ 2.74827076e+01],, [ 5.86331683e+11],,38.75106986
61,30.86545198,20.86545198, [ 2.73334730e+01],, [ 5.80823394e+11],,38.75358913
62,30.70931769,20.70931769, [ 2.71469840e+01],, [ 5.75224959e+11],,38.73732694
63,30.56656677,20.56656677, [ 2.69742246e+01],, [ 5.68228950e+11],,38.72777557
64,30.91285282,20.91285282, [ 2.68307774e+01],, [ 5.61747998e+11],,38.73272665
65,30.76644157,20.76644157, [ 2.66549974e+01],, [ 5.56366673e+11],,38.72135798
66,30.62269669,20.62269669, [ 2.64822301e+01],, [ 5.49772405e+11],,38.71134257
67,30.48645942,20.48645942, [ 2.63173008e+01],, [ 5.43291152e+11],,38.70509348
68,30.3347576,20.3347576, [ 2.61372678e+01],, [ 5.37103942e+11],,38.69114008
69,30.64954153,20.64954153, [ 2.59567397e+01],, [ 5.30350124e+11],,38.676787
70,30.50474957,20.50474957, [ 2.57843238e+01],, [ 5.23577732e+11],,38.66633824
71,30.82719158,20.82719158, [ 2.56176979e+01],, [ 5.17109667e+11],,38.65863292
72,30.70517754,20.70517754, [ 2.54686925e+01],, [ 5.10858807e+11],,38.65958665
73,30.60022788,20.60022788, [ 2.53370153e+01],, [ 5.05268969e+11],,38.66905359
74,30.48726897,20.48726897, [ 2.51976083e+01],, [ 5.00329190e+11],,38.67450498
75,30.33083662,20.33083662, [ 2.50150936e+01],, [ 4.95099428e+11],,38.65825222
76,30.64692612,20.64692612, [ 2.48384534e+01],, [ 4.88252512e+11],,38.6447867
77,30.51812753,20.51812753, [ 2.46842355e+01],, [ 4.81625972e+11],,38.64238263
78,30.40654174,20.40654174, [ 2.45475044e+01],, [ 4.75840591e+11],,38.64857256
79,30.30751447,20.30751447, [ 2.44235802e+01],, [ 4.70711216e+11],,38.6610168
80,30.66420399,20.66420399, [ 2.42891366e+01],, [ 4.66062282e+11],,38.66805256
81,30.53581175,20.53581175, [ 2.41364229e+01],, [ 4.61018722e+11],,38.66580472
82,30.39731607,20.39731607, [ 2.39739314e+01],, [ 4.55289768e+11],,38.65851976
83,30.72171613,20.72171613, [ 2.38093227e+01],, [ 4.49194008e+11],,38.65002834
84,30.57612811,20.57612811, [ 2.36404072e+01],, [ 4.43018825e+11],,38.63923585
85,30.44270078,20.44270078, [ 2.34839659e+01],, [ 4.36682074e+11],,38.63453314
86,30.32037407,20.32037407, [ 2.33389160e+01],, [ 4.30813284e+11],,38.63537904
87,30.66653854,20.66653854, [ 2.31968208e+01],, [ 4.25371831e+11],,38.6375556
88,30.56205118,20.56205118, [ 2.30701487e+01],, [ 4.20041225e+11],,38.64729729
