,T_BTES_5
0,14.853159575105936
1,14.834798140439649
2,14.816130445398658
3,14.795917749940546
4,14.777335143950967
5,14.761314693133155
6,14.748084681518606
7,14.732792737499434
8,14.71497461580974
9,14.697564364597362
10,14.682614319754764
11,14.66956062048354
12,14.657948354591415
13,14.643286242671387
14,14.629581373180663
15,14.616105803819563
16,14.598291671270063
17,14.58015453149508
18,14.56335586019482
19,14.544129911727385
20,14.526677322973672
21,14.509186423444977
22,14.4894718056537
23,14.471008572715638
24,14.457502294521612
25,14.444847810048564
26,14.42918547838957
27,14.41006527969515
28,14.39197281073097
29,14.372437440686133
30,14.35279383706433
31,14.333941512704522
32,14.31441001889582
33,14.295174699715814
34,14.280600085381774
35,14.266105818295099
36,14.253365830806157
37,14.239769909921568
38,14.227984681057983
39,14.214736605425571
40,14.199918540814869
41,14.184872417976518
42,14.17004769226104
43,14.157130639760654
44,14.142759057466938
45,14.129262940284026
46,14.118113790655613
47,14.106585221382712
48,14.09357449942115
49,14.079724252215346
50,14.06746258486997
51,14.056303349499814
52,14.043677842723865
53,14.032007282742434
54,14.019232371485057
55,14.005885846952735
56,13.99371472550052
57,13.981082708150009
58,13.968976504261455
59,13.956774260011834
60,14.128891093984524
61,14.300757176803181
62,14.469131372016308
63,14.638747543743925
64,14.81105721111114
65,14.98033370403186
66,15.149857636369438
67,15.320078275305232
68,15.488863803267327
69,15.657569811915286
70,15.826996574885348
71,15.996929657232632
72,16.168470211391437
73,16.341594340176613
74,16.513975209882467
75,16.68232174456984
76,16.851180582336198
77,17.022091530199702
78,17.194599826498298
79,17.368273553035053
80,17.540946081365135
81,17.711894737865713
82,17.881905796556204
83,18.05168977548675
84,18.221042664149326
85,18.39152406471153
86,18.56303560354281
87,18.73479492049033
88,18.907961951315798
89,19.078472818808947
90,19.065631672816565
91,19.05108829418399
92,19.035315282783035
93,19.020442085285723
94,19.007869001797115
95,18.99545164519533
96,18.984509968342337
97,18.97409850805597
98,18.962528391540282
99,18.94894560470461
100,18.933863504360744
101,18.91923134860552
102,18.90386477761074
103,18.88804686959513
104,18.875607535104667
105,18.864845971566023
106,18.855036457049202
107,18.846531729144907
108,18.838815984863555
109,18.83133981462273
110,18.824122260908005
111,18.81705723524698
112,18.810207096134274
113,18.800802479056962
114,18.790799227947286
115,18.780759434833136
116,18.7689136915063
117,18.758471823455963
118,18.74860593415056
119,18.739516195492403
120,18.73061454842045
121,18.72059026025511
122,18.709456427410608
123,18.696072495305902
124,18.68358100096663
125,18.67145895342989
126,18.66102408518797
127,18.650978609436752
128,18.639834239247072
129,18.629319249557376
130,18.61877577140443
131,18.608734472958304
132,18.598951903938065
133,18.58982942424646
134,18.581638445754873
135,18.57241650106097
136,18.563096634335697
137,18.555322445430562
138,18.548087693265884
139,18.541224006139778
140,18.533719008736334
141,18.526681493070853
